시간(초),피부온도(C),히터온도(C),목표온도(C),PWM(%),심박수(BPM),안전상태,세션상태,연속수면(분),수면판정
2,26.3,25.5,0.0,0,0,NORMAL,IDLE,0,깨어있음
3,26.2,25.5,0.0,0,0,NORMAL,IDLE,0,깨어있음
4,26.2,25.4,0.0,0,0,NORMAL,IDLE,0,깨어있음
5,26.1,25.5,38.0,49,0,NORMAL,RUNNING,0,깨어있음
6,26.1,25.5,38.0,51,0,NORMAL,RUNNING,0,깨어있음
7,26.1,25.5,38.0,54,0,NORMAL,RUNNING,0,깨어있음
8,26.2,25.5,38.0,55,0,NORMAL,RUNNING,0,깨어있음
9,26.1,25.4,38.0,56,0,NORMAL,RUNNING,0,깨어있음
10,26.2,25.4,38.0,56,0,NORMAL,RUNNING,0,깨어있음
11,26.2,25.5,38.0,56,0,NORMAL,RUNNING,0,깨어있음
12,26.2,25.5,38.0,56,0,NORMAL,RUNNING,0,깨어있음
13,24.8,25.5,38.0,63,4,NORMAL,RUNNING,0,깨어있음
14,24.6,25.4,38.0,63,4,NORMAL,RUNNING,0,깨어있음
15,24.6,25.4,38.0,62,4,NORMAL,RUNNING,0,깨어있음
16,24.6,25.4,38.0,62,4,NORMAL,RUNNING,0,깨어있음
17,24.6,25.5,38.0,62,4,NORMAL,RUNNING,0,깨어있음
18,24.8,25.4,38.0,62,4,NORMAL,RUNNING,0,깨어있음
19,24.7,25.4,38.0,62,4,NORMAL,RUNNING,0,깨어있음
20,24.8,25.4,38.0,62,9,NORMAL,RUNNING,0,깨어있음
21,24.8,25.4,38.0,62,91,NORMAL,RUNNING,0,깨어있음
22,24.9,25.4,38.0,61,91,NORMAL,RUNNING,0,깨어있음
23,24.7,25.5,38.0,62,91,NORMAL,RUNNING,0,깨어있음
24,24.6,25.4,38.0,62,91,NORMAL,RUNNING,0,깨어있음
25,24.6,25.4,38.0,62,91,NORMAL,RUNNING,0,깨어있음
26,24.8,25.5,38.0,62,11,NORMAL,RUNNING,0,깨어있음
27,24.7,25.4,38.0,62,58,NORMAL,RUNNING,0,깨어있음
28,24.5,25.4,38.0,63,58,NORMAL,RUNNING,0,깨어있음
29,24.6,25.4,38.0,62,58,NORMAL,RUNNING,0,깨어있음
30,24.5,25.5,38.0,63,81,NORMAL,RUNNING,0,깨어있음
31,24.6,25.5,38.0,62,81,NORMAL,RUNNING,0,깨어있음
32,24.5,25.4,38.0,63,125,NORMAL,RUNNING,0,깨어있음
33,24.5,25.5,38.0,63,125,NORMAL,RUNNING,0,깨어있음
34,24.5,25.5,38.0,63,29,NORMAL,RUNNING,0,깨어있음
35,24.4,25.4,38.0,63,88,NORMAL,RUNNING,0,깨어있음
36,24.5,25.5,38.0,62,91,NORMAL,RUNNING,0,깨어있음
37,24.9,25.4,38.0,61,91,NORMAL,RUNNING,0,깨어있음
38,25.2,25.5,38.0,60,91,NORMAL,RUNNING,0,깨어있음
39,25.2,25.4,38.0,60,19,NORMAL,RUNNING,0,깨어있음
40,25.2,25.4,38.0,60,75,NORMAL,RUNNING,0,깨어있음
41,25.3,25.4,38.0,60,83,NORMAL,RUNNING,0,깨어있음
42,25.3,25.5,38.0,60,61,NORMAL,RUNNING,0,깨어있음
43,25.3,25.5,38.0,60,115,NORMAL,RUNNING,0,깨어있음
44,25.2,25.5,38.0,60,59,NORMAL,RUNNING,0,깨어있음
45,25.3,25.4,38.0,60,51,NORMAL,RUNNING,0,깨어있음
46,25.2,25.4,38.0,60,51,NORMAL,RUNNING,0,깨어있음
47,24.7,25.4,38.0,62,31,NORMAL,RUNNING,0,깨어있음
48,24.8,25.5,38.0,62,100,NORMAL,RUNNING,0,깨어있음
49,24.8,25.4,38.0,62,88,NORMAL,RUNNING,0,깨어있음
50,24.8,25.5,38.0,62,88,NORMAL,RUNNING,0,깨어있음
