시간(초),피부온도(C),히터온도(C),목표온도(C),PWM(%),심박수(BPM),안전상태,세션상태,연속수면(분),수면판정
2,26,26.4,0,0,0,NORMAL,IDLE,0,깨어있음
3,26,26.4,0,0,0,NORMAL,IDLE,0,깨어있음
4,26.1,26.4,0,0,0,NORMAL,IDLE,0,깨어있음
5,26.2,26.4,0,0,0,NORMAL,IDLE,0,깨어있음
6,26,26.4,0,0,0,NORMAL,IDLE,0,깨어있음
7,26.1,26.4,0,0,9,NORMAL,IDLE,0,깨어있음
8,26.1,26.3,0,0,9,NORMAL,IDLE,0,깨어있음
9,26.1,26.3,0,0,9,NORMAL,IDLE,0,깨어있음
10,26.1,26.1,0,0,9,NORMAL,IDLE,0,깨어있음
11,26.1,26.1,38,49,17,NORMAL,RUNNING,0,깨어있음
12,26.1,26.1,38,52,17,NORMAL,RUNNING,0,깨어있음
13,26.1,26.1,38,53,30,NORMAL,RUNNING,0,깨어있음
14,26.1,26.1,38,56,30,NORMAL,RUNNING,0,깨어있음
15,26.1,26.1,38,57,21,NORMAL,RUNNING,0,깨어있음
16,26.1,26,38,56,21,NORMAL,RUNNING,0,깨어있음
17,26.2,26,38,56,21,NORMAL,RUNNING,0,깨어있음
18,26.2,26,38,56,25,NORMAL,RUNNING,0,깨어있음
19,26.2,26.1,38,56,25,NORMAL,RUNNING,0,깨어있음
20,26.2,26.1,38,56,25,NORMAL,RUNNING,0,깨어있음
21,26.1,26.1,38,57,25,NORMAL,RUNNING,0,깨어있음
22,26,26.1,38,57,25,NORMAL,RUNNING,0,깨어있음
23,26,26.1,38,57,25,NORMAL,RUNNING,0,깨어있음
